"","Protein","1","2","3","4","Score","Adjusted_score"
"1","C",72,1750,745,55,1.64382336217034,3
"2","Q",64,1359,204,37,0.367012388739528,1.72318902656918
"3","H",48,254,14,25,-0.886772043819388,0.469404594010268
"4","CQ1",56,851,429,26,0.0779339982489755,1.43411063607863
"5","CH1",64,726,280,10,-0.322282610496752,1.0338940273329
"6","CQ2",35,1105,222,18,-0.446191506530748,0.909985131298909
"7","CH2",86,497,223,6,-0.286803001833865,1.06937363599579
"8","CQ3",71,714,218,9,-0.326740239365188,1.02943639846447
"9","CH3",96,854,202,16,0.180019652887096,1.53619629071675
