,Temperature(),1,2,3,4,5,6,7,8,9,,,467,516,520,
,26,-0.083767,-0.166467,0.250233,0.571833,0.581133,0.501733,0.508533,1.227433,1.348433,,-3.33333333342919E-07,0.576483,0.505133,1.287933,c
,,,,,0.200933,0.256333,0.410633,0.402933,0.930433,1.045833,,,0.228633,0.406783,0.988133,q
,,,,,0.167633,0.140833,0.392533,0.400133,0.827933,0.916033,,,0.154233,0.396333,0.871983,h
,,,,,0.454233,0.387333,0.472733,0.519733,1.163433,1.149633,,,0.420783,0.496233,1.156533,cq1
,,,,,0.429833,0.442733,0.433833,0.403733,1.085133,1.194933,,,0.436283,0.418783,1.140033,ch1
,,,,,0.528633,0.459133,0.285033,0.320733,1.111133,1.245733,,,0.493883,0.302883,1.178433,ch2
,,,,,0.342633,0.396533,0.330733,0.360633,1.248733,1.337833,,,0.369583,0.345683,1.293283,cq1.1
,,,,,0.316833,0.501133,0.789533,0.339233,1.800233,1.360833,,,0.408983,0.564383,1.580533,ch1.1

,,1,2,3,4,5,6,7,8,9,,,,,,
,,-0.083767,-0.166467,0.250233,0.571833,0.581133,0.501733,0.508533,1.227433,1.348433,,,,,,
,,,,,0.200933,0.256333,0.410633,0.402933,0.930433,1.045833,,,,,,
,,,,,0.167633,0.140833,0.392533,0.400133,0.827933,0.916033,,,,,,
,,,,,0.454233,0.387333,0.472733,0.519733,1.163433,1.149633,,,,,,
,,,,,0.429833,0.442733,0.433833,0.403733,1.085133,1.194933,,,,,,
,,,,,0.528633,0.459133,0.285033,0.320733,1.111133,1.245733,,,,,,
,,,,,0.342633,0.396533,0.330733,0.360633,1.248733,1.337833,,,,,,
,,,,,0.316833,0.501133,0.789533,0.339233,1.800233,1.360833,,,,,,

,Temperature(),1,2,3,4,5,6,7,8,9,,,467,516,520,
,26.1,-0.079067,-0.142267,0.221333,0.478333,0.465233,0.432533,0.427333,0.875033,0.854133,,-3.33333333333667E-07,0.471783,0.429933,0.864583,c
,,,,,0.186033,0.236533,0.361033,0.348633,0.717233,0.782233,,,0.211283,0.354833,0.749733,q
,,,,,0.156833,0.133833,0.340833,0.347133,0.664933,0.713333,,,0.145333,0.343983,0.689133,h
,,,,,0.374633,0.340233,0.400433,0.448533,0.784433,0.763033,,,0.357433,0.424483,0.773733,cq1
,,,,,0.355633,0.358933,0.366433,0.335433,0.714333,0.771233,,,0.357283,0.350933,0.742783,ch1
,,,,,0.453233,0.372333,0.255733,0.279933,0.800033,0.847433,,,0.412783,0.267833,0.823733,ch2
,,,,,0.296633,0.357933,0.295733,0.321133,0.855133,0.896933,,,0.327283,0.308433,0.876033,cq1.1
,,,,,0.272433,0.451933,0.703133,0.294433,1.250433,0.854933,,,0.362183,0.498783,1.052683,ch1.1

,,1,2,3,4,5,6,7,8,9,,,,,,
,,-0.079067,-0.142267,0.221333,0.478333,0.465233,0.432533,0.427333,0.875033,0.854133,,,,,,
,,,,,0.186033,0.236533,0.361033,0.348633,0.717233,0.782233,,,,,,
,,,,,0.156833,0.133833,0.340833,0.347133,0.664933,0.713333,,,,,,
,,,,,0.374633,0.340233,0.400433,0.448533,0.784433,0.763033,,,,,,
,,,,,0.355633,0.358933,0.366433,0.335433,0.714333,0.771233,,,,,,
,,,,,0.453233,0.372333,0.255733,0.279933,0.800033,0.847433,,,,,,
,,,,,0.296633,0.357933,0.295733,0.321133,0.855133,0.896933,,,,,,
,,,,,0.272433,0.451933,0.703133,0.294433,1.250433,0.854933,,,,,,

,Temperature(),1,2,3,4,5,6,7,8,9,,,467,516,520,
,26.3,-0.0866,-0.0739,0.1605,0.3061,0.2833,0.282,0.2862,0.5252,0.5444,,9.25185853854297E-18,0.2947,0.2841,0.5348,c
,,,,,0.1124,0.1526,0.2532,0.2284,0.4544,0.4986,,,0.1325,0.2408,0.4765,q
,,,,,0.087,0.0684,0.2141,0.2363,0.4507,0.4798,,,0.0777,0.2252,0.46525,h
,,,,,0.2332,0.2096,0.2637,0.3103,0.453,0.4773,,,0.2214,0.287,0.46515,cq1
,,,,,0.2015,0.2008,0.2249,0.2214,0.4325,0.4821,,,0.20115,0.22315,0.4573,ch1
,,,,,0.2892,0.198,0.1568,0.1867,0.4885,0.531,,,0.2436,0.17175,0.50975,ch2
,,,,,0.1792,0.2389,0.1889,0.2341,0.4979,0.5277,,,0.20905,0.2115,0.5128,cq1.1
,,,,,0.1766,0.3372,0.4806,0.2048,0.7434,0.523,,,0.2569,0.3427,0.6332,ch1.1

,,1,2,3,4,5,6,7,8,9,,,,,,
,,-0.0866,-0.0739,0.1605,0.3061,0.2833,0.282,0.2862,0.5252,0.5444,,,,,,
,,,,,0.1124,0.1526,0.2532,0.2284,0.4544,0.4986,,,,,,
,,,,,0.087,0.0684,0.2141,0.2363,0.4507,0.4798,,,,,,
,,,,,0.2332,0.2096,0.2637,0.3103,0.453,0.4773,,,,,,
,,,,,0.2015,0.2008,0.2249,0.2214,0.4325,0.4821,,,,,,
,,,,,0.2892,0.198,0.1568,0.1867,0.4885,0.531,,,,,,
,,,,,0.1792,0.2389,0.1889,0.2341,0.4979,0.5277,,,,,,
,,,,,0.1766,0.3372,0.4806,0.2048,0.7434,0.523,,,,,,

