"","Time","Names","Data"
"1",0,"JX0811",0.0931
"2",0,"JX0811",0.1118
"3",0,"JX0811",0.1005
"4",0,"JX0811",0.1045
"5",0,"JX0811",0.1048
"6",0,"JX0811",0.1025
"7",0,"HA9801",0.0938
"8",0,"HA9801",0.0852
"9",0,"HA9801",0.1036
"10",0,"HA9801",0.0883
"11",0,"HA9801",0.0925
"12",0,"HA9801",0.0959
"13",0,"hrcA-YR",0.0906
"14",0,"hrcA-YR",0.0946
"15",0,"hrcA-YR",0.0824
"16",0,"hrcA-YR",0.0884
"17",0,"hrcA-YR",0.0923
"18",0,"hrcA-YR",0.096
"19",0,"GrpE-YR",0.0856
"20",0,"GrpE-YR",0.0872
"21",0,"GrpE-YR",0.089
"22",0,"GrpE-YR",0.0925
"23",0,"GrpE-YR",0.089
"24",0,"GrpE-YR",0.0964
"25",0,"DC-HP-WR",0.0846
"26",0,"DC-HP-WR",0.0795
"27",0,"DC-HP-WR",0.1035
"28",0,"DC-HP-WR",0.0899
"29",0,"DC-HP-WR",0.0862
"30",0,"DC-HP-WR",0.1107
"31",0,"DnaJ-YR",0.0778
"32",0,"DnaJ-YR",0.0818
"33",0,"DnaJ-YR",0.0792
"34",0,"DnaJ-YR",0.0791
"35",0,"DnaJ-YR",0.0923
"36",0,"DnaJ-YR",0.1084
"37",0,"DC-YR",0.078
"38",0,"DC-YR",0.0993
"39",0,"DC-YR",0.0962
"40",0,"DC-YR",0.098
"41",0,"DC-YR",0.1017
"42",0,"DC-YR",0.1004
"43",0,"BHI",0.0957
"44",0,"BHI",0.0874
"45",0,"BHI",0.09
"46",0,"BHI",0.0878
"47",0,"BHI",0.0997
"48",0,"BHI",0.1052
"49",2,"JX0811",0.1448
"50",2,"JX0811",0.1704
"51",2,"JX0811",0.0986
"52",2,"JX0811",0.1063
"53",2,"JX0811",0.1176
"54",2,"JX0811",0.1055
"55",2,"HA9801",0.0791
"56",2,"HA9801",0.1299
"57",2,"HA9801",0.1371
"58",2,"HA9801",0.1338
"59",2,"HA9801",0.1221
