"","Time","Names","Data"
"60",2,"HA9801",0.1109
"61",2,"hrcA-YR",0.0602
"62",2,"hrcA-YR",0.1333
"63",2,"hrcA-YR",0.1133
"64",2,"hrcA-YR",0.1132
"65",2,"hrcA-YR",0.1091
"66",2,"hrcA-YR",0.11
"67",2,"GrpE-YR",0.1072
"68",2,"GrpE-YR",0.1034
"69",2,"GrpE-YR",0.056
"70",2,"GrpE-YR",0.1091
"71",2,"GrpE-YR",0.1049
"72",2,"GrpE-YR",0.1091
"73",2,"DC-HP-WR",0.1232
"74",2,"DC-HP-WR",0.1337
"75",2,"DC-HP-WR",0.1107
"76",2,"DC-HP-WR",0.1322
"77",2,"DC-HP-WR",0.1258
"78",2,"DC-HP-WR",0.1353
"79",2,"DnaJ-YR",0.1136
"80",2,"DnaJ-YR",0.0598
"81",2,"DnaJ-YR",0.0862
"82",2,"DnaJ-YR",0.0529
"83",2,"DnaJ-YR",0.095
"84",2,"DnaJ-YR",0.1001
"85",2,"DC-YR",0.117
"86",2,"DC-YR",0.1034
"87",2,"DC-YR",0.1169
"88",2,"DC-YR",0.1368
"89",2,"DC-YR",0.143
"90",2,"DC-YR",0.1434
"91",2,"BHI",0.0558
"92",2,"BHI",0.0802
"93",2,"BHI",0.0651
"94",2,"BHI",0.0378
"95",2,"BHI",0.0682
"96",2,"BHI",0.1197
"97",4,"JX0811",0.2949
"98",4,"JX0811",0.3006
"99",4,"JX0811",0.3032
"100",4,"JX0811",0.3219
"101",4,"JX0811",0.3175
"102",4,"JX0811",0.3009
"103",4,"HA9801",0.3698
"104",4,"HA9801",0.3746
"105",4,"HA9801",0.3651
"106",4,"HA9801",0.3781
"107",4,"HA9801",0.3704
"108",4,"HA9801",0.3544
"109",4,"hrcA-YR",0.357
"110",4,"hrcA-YR",0.3392
"111",4,"hrcA-YR",0.3626
"112",4,"hrcA-YR",0.3444
"113",4,"hrcA-YR",0.3472
"114",4,"hrcA-YR",0.3554
"115",4,"GrpE-YR",0.3426
"116",4,"GrpE-YR",0.3512
"117",4,"GrpE-YR",0.3576
"118",4,"GrpE-YR",0.3413
"119",4,"GrpE-YR",0.3527
"120",4,"GrpE-YR",0.3637
"121",4,"DC-HP-WR",0.3629
"122",4,"DC-HP-WR",0.3818
"123",4,"DC-HP-WR",0.3906
"124",4,"DC-HP-WR",0.3979
"125",4,"DC-HP-WR",0.3955
"126",4,"DC-HP-WR",0.3791
"127",4,"DnaJ-YR",0.2682
"128",4,"DnaJ-YR",0.317
"129",4,"DnaJ-YR",0.3201
"130",4,"DnaJ-YR",0.3125
"131",4,"DnaJ-YR",0.3166
"132",4,"DnaJ-YR",0.3134
"133",4,"DC-YR",0.2747
"134",4,"DC-YR",0.3391
"135",4,"DC-YR",0.3378
"136",4,"DC-YR",0.346
"137",4,"DC-YR",0.3391
"138",4,"DC-YR",0.3593
"139",4,"BHI",0.1216
"140",4,"BHI",0.1212
"141",4,"BHI",0.1313
"142",4,"BHI",0.11
"143",4,"BHI",0.1221
"144",4,"BHI",0.1583
"145",6,"JX0811",0.4714
"146",6,"JX0811",0.466
"147",6,"JX0811",0.4808
"148",6,"JX0811",0.4826
"149",6,"JX0811",0.4931
"150",6,"JX0811",0.4514
"151",6,"HA9801",0.4278
"152",6,"HA9801",0.4191
"153",6,"HA9801",0.4247
"154",6,"HA9801",0.4153
"155",6,"HA9801",0.4277
"156",6,"HA9801",0.4261
"157",6,"hrcA-YR",0.4268
"158",6,"hrcA-YR",0.4058
"159",6,"hrcA-YR",0.3905
"160",6,"hrcA-YR",0.4064
"161",6,"hrcA-YR",0.4304
"162",6,"hrcA-YR",0.4407
"163",6,"GrpE-YR",0.3686
"164",6,"GrpE-YR",0.4126
"165",6,"GrpE-YR",0.4129
"166",6,"GrpE-YR",0.4068
"167",6,"GrpE-YR",0.4082
"168",6,"GrpE-YR",0.4509
"169",6,"DC-HP-WR",0.3718
"170",6,"DC-HP-WR",0.4069
"171",6,"DC-HP-WR",0.4078
"172",6,"DC-HP-WR",0.4256
"173",6,"DC-HP-WR",0.3974
"174",6,"DC-HP-WR",0.4364
"175",6,"DnaJ-YR",0.4406
"176",6,"DnaJ-YR",0.4242
"177",6,"DnaJ-YR",0.4237
"178",6,"DnaJ-YR",0.3921
"179",6,"DnaJ-YR",0.3977
"180",6,"DnaJ-YR",0.4756
"181",6,"DC-YR",0.4298
"182",6,"DC-YR",0.4275
"183",6,"DC-YR",0.4266
"184",6,"DC-YR",0.4188
"185",6,"DC-YR",0.4275
"186",6,"DC-YR",0.4666
"187",6,"BHI",0.0842
"188",6,"BHI",0.0887
"189",6,"BHI",0.086
"190",6,"BHI",0.1066
"191",6,"BHI",0.0976
"192",6,"BHI",0.1172
"193",8,"JX0811",0.4898
"194",8,"JX0811",0.4956
"195",8,"JX0811",0.4897
"196",8,"JX0811",0.4771
"197",8,"JX0811",0.4706
"198",8,"JX0811",0.4799
"199",8,"HA9801",0.4663
"200",8,"HA9801",0.4593
"201",8,"HA9801",0.4755
"202",8,"HA9801",0.4579
"203",8,"HA9801",0.455
"204",8,"HA9801",0.463
"205",8,"hrcA-YR",0.4645
"206",8,"hrcA-YR",0.4082
"207",8,"hrcA-YR",0.4693
"208",8,"hrcA-YR",0.5103
"209",8,"hrcA-YR",0.4921
"210",8,"hrcA-YR",0.4422
"211",8,"GrpE-YR",0.4428
"212",8,"GrpE-YR",0.438
"213",8,"GrpE-YR",0.4258
"214",8,"GrpE-YR",0.3943
"215",8,"GrpE-YR",0.436
"216",8,"GrpE-YR",0.4285
"217",8,"DC-HP-WR",0.4497
"218",8,"DC-HP-WR",0.4314
"219",8,"DC-HP-WR",0.4462
"220",8,"DC-HP-WR",0.469
"221",8,"DC-HP-WR",0.4488
"222",8,"DC-HP-WR",0.456
"223",8,"DnaJ-YR",0.402
"224",8,"DnaJ-YR",0.3906
"225",8,"DnaJ-YR",0.3897
"226",8,"DnaJ-YR",0.3843
"227",8,"DnaJ-YR",0.3893
"228",8,"DnaJ-YR",0.4063
"229",8,"DC-YR",0.5046
"230",8,"DC-YR",0.4914
"231",8,"DC-YR",0.4978
"232",8,"DC-YR",0.4816
"233",8,"DC-YR",0.4727
"234",8,"DC-YR",0.4877
"235",8,"BHI",0.0519
"236",8,"BHI",0.0418
"237",8,"BHI",0.0586
"238",8,"BHI",0.0536
"239",8,"BHI",0.0599
"240",8,"BHI",0.0632
"241",10,"JX0811",0.5341
"242",10,"JX0811",0.518
"243",10,"JX0811",0.524
"244",10,"JX0811",0.5352
"245",10,"JX0811",0.5125
"246",10,"JX0811",0.5721
"247",10,"HA9801",0.519
"248",10,"HA9801",0.5046
"249",10,"HA9801",0.5285
"250",10,"HA9801",0.5261
"251",10,"HA9801",0.4851
"252",10,"HA9801",0.5892
"253",10,"hrcA-YR",0.512
"254",10,"hrcA-YR",0.5278
"255",10,"hrcA-YR",0.505
"256",10,"hrcA-YR",0.5061
"257",10,"hrcA-YR",0.5519
"258",10,"hrcA-YR",0.5015
"259",10,"GrpE-YR",0.4944
"260",10,"GrpE-YR",0.4857
"261",10,"GrpE-YR",0.496
"262",10,"GrpE-YR",0.5007
"263",10,"GrpE-YR",0.4862
"264",10,"GrpE-YR",0.4962
"265",10,"DC-HP-WR",0.509
"266",10,"DC-HP-WR",0.4808
"267",10,"DC-HP-WR",0.4946
"268",10,"DC-HP-WR",0.5149
"269",10,"DC-HP-WR",0.4927
"270",10,"DC-HP-WR",0.5143
"271",10,"DnaJ-YR",0.4459
"272",10,"DnaJ-YR",0.4286
"273",10,"DnaJ-YR",0.4282
"274",10,"DnaJ-YR",0.4429
"275",10,"DnaJ-YR",0.4433
"276",10,"DnaJ-YR",0.461
"277",10,"DC-YR",0.5328
"278",10,"DC-YR",0.5172
"279",10,"DC-YR",0.5171
"280",10,"DC-YR",0.5013
"281",10,"DC-YR",0.496
"282",10,"DC-YR",0.5398
"283",10,"BHI",0.1015
"284",10,"BHI",0.0376
"285",10,"BHI",0.0833
"286",10,"BHI",0.0842
"287",10,"BHI",0.0782
"288",10,"BHI",0.1077
